SEGMENTATION_MARCHE,Client,18

N°,Adresse,Ville
C0390,Yopougon Sicogi,Abidjan
C0391,Port Bouet Gd Mché,Abidjan
C0392,Adjouffou,Abidjan
C0393,Port Bouet Gd Mché,Abidjan
C0394,Port Bouet Grd Mché,Abidjan
C0395,Marcory Gd Mché,Abidjan
C0396,Abobo,Abidjan
C0397,Aboisso,
C0398,Gonzagueville ,Abidjan 
C0399,Tiassale,
C0400,Port bouet 2,Abidjan
C0401,Treichville grand marché,Abidjan
C0402,Yopougon Niangon,Abidjan 
C0406,Port bouet,Abidjan
C0407,Adjamé Bromakoté,Abidjan
C0408,Treichville,Abidjan
C0409,Port Bouet Gd Mché,Abidjan
C0410,Treichville Gd Mché,Abidjan
C0411,Yopougon Sicogi,Abidjan
C0412,Adjame Forum,Abidjan
C0413,Aboisso marché,Aboisso
C0414,Port Bouet Grd Mché,Abidjan
C0415,Aboisso,Aboisso
C0417,Koumassi marché,Abidjan
C0418,Port Bouet Grd Mché,Abidjan
C0419,Koumassi Grd Mché,Abidjan
C0420,Attecoube grand marché,Abidjan 
C0421,Koumassi Gd Mché,Abidjan
C0422,Koumassi Grd Mché,Abidjan
C0423,Abobo Gd Mché,Abidjan
C0424,Gonzague ville,Abidjan
C0425,Adjamé Habita Latin,Abidjan 
C0426,Port Bouet,Abidjan
C0427,Yopougon Sideci Palais,Abidan
C0428,,
C0429,Yopougon Koweït,Abidjan
C0430,Treichville Gd Mché,Abidjan 
C0431,Gonzague ville,Abidjan
C0432,Adjame,Abidjan
C0434,Adjamé Mché Gouro,Abidjan 
C0435,Yopougon Sidecie,Abidjan
C0436,2Plateaux Encien Marché,Abidjan
C0437,Yopougon 16 ème,Abidjan 
C0438,Treichville Grd Mché,Abidjan
C0439,Abobo Gd Mché ,Abidjan
C0440,Yopougon Andokoi,Abidjan 
C0441,Port bouet marché,Abidjan
C0442,Gonzague marché jean folly jean,Abidjan
C0443,Koumassi Gd Mché ,Abidjan
C0445,Port Bouet,Abidjan
C0447,Bonoua marché,
C0449,Port Bouet,
C0451,Koumassi Gd Mché ,Abidjan
C0452,Bonoua marché,
C0453,Koumassi Grd Mché,Abidjan
C0454,Adjame latin,Abidjan
C0455,Adjamé Habita Latin,Abidjan 
C0456,Marcory Anoumanbo ,
C0457,Koumassi,Abidjan
C0458,Abobodoumé,Abidjan 
C0459,Gonzague ville marché,Abidjan
C0460,Abobodoumé ,Abidjan 
C0461,Abobodoumé ,Abidjan 
C0462,abobodoumé ,Abidjan 
C0463,Adjamé Habita Latin,Abidjan
C0464,BONOUA,BONOUA
C0465,Marcory Gd Mché ,Abidjan 
C0466,Port Bouet Abattoir,Abidjan
C0467,Adjouffou Marché,
C0468,Douane ,Abidjan 
C0469,Cocody 2 Plateaux,Abidjan
